training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.002764289579598875,1.0,0.013113109487156391,0.0,423217.59375
25600,0.0015456066024220174,1.0,0.011779322719791393,0.0005931198102016608,414950.875
38400,0.0008745613029618098,1.0,0.010910953507755363,0.0005931198102016608,413820.9375
51200,0.0005675171772395414,1.0,0.010214107422642012,0.0029655990510083037,411687.8125
64000,0.0004283194125398582,1.0,0.00926553040675483,0.09134045077105575,407463.9375
76800,0.00041913952805327446,1.0,0.0076004960256587815,0.8742586002372479,406946.34375
89600,0.0007260292633714441,1.0,0.005279114533134008,1.0,407470.4375
102400,0.0016088118642537074,1.0,0.003689685022631883,1.0,407369.25
115200,0.0029505888180092364,1.0,0.003684863328827658,1.0,401908.34375
128000,0.004326898380715934,1.0,0.004558175163948964,1.0,402964.46875
140800,0.005504892070015572,1.0,0.0055788704265938675,1.0,400207.09375
153600,0.006468949544236051,1.0,0.006493998557762249,1.0,401720.5625
166400,0.007291619609941862,1.0,0.0073018428554133125,1.0,398618.71875
179200,0.008030719427310614,1.0,0.008034607852352861,1.0,401034.09375
192000,0.008664508385854116,1.0,0.008665132928476144,1.0,399153.71875
204800,0.009264418597392014,1.0,0.009264760604846344,1.0,401536.75
