training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.00939697856564516,0.9777382012466608,0.020928672989355322,0.027283511269276393,2398.03955078125
12800,0.008684337141617588,1.0,0.02063080919398302,0.0800711743772242,2444.895263671875
19200,0.008862292116220945,1.0,0.0200800684292846,0.16963226571767498,2454.656982421875
25600,0.008323923438764239,1.0,0.01833818204124256,0.28291814946619215,2443.2998046875
32000,0.007691567001544198,1.0,0.01650094624701556,0.43001186239620404,2437.042236328125
38400,0.006687352879558386,1.0,0.013998982768333468,0.6785290628706999,2400.47998046875
44800,0.006527679007855358,1.0,0.012521046359359352,0.8748517200474496,2366.431640625
51200,0.006085097339860133,1.0,0.010801148035509394,0.961447212336892,2378.141357421875
57600,0.0059385239200555415,1.0,0.009609223973980419,0.9893238434163701,2367.94287109375
64000,0.00596775728479386,1.0,0.008796785046122217,0.9988137603795967,2344.583984375
