training_step,train_loss,train_acc,val_loss,val_acc,llc
6400,0.006788872505745126,0.5431547619047619,0.0069819192910058935,0.0006611570247933885,4418.89306640625
12800,0.006606723249350335,0.753968253968254,0.0070319339234289555,0.00033057851239669424,4451.69287109375
19200,0.006296298621843259,0.8690476190476191,0.0071366768809081604,0.0,4497.00830078125
25600,0.00578428156852227,0.9548611111111112,0.007325505272539194,0.0,4549.6904296875
32000,0.0050473455709242636,0.9890873015873016,0.007577606603534015,0.0,4628.404296875
38400,0.004165342146099271,0.9970238095238095,0.0077968820375351865,0.003966942148760331,4717.0029296875
44800,0.0033579333299597254,0.998015873015873,0.0079275745496708,0.03140495867768595,4822.619140625
51200,0.0028638097079122433,1.0,0.008007824703866292,0.10082644628099173,4944.4169921875
57600,0.0026846459748787947,1.0,0.008072120953997798,0.22016528925619835,4982.091796875
64000,0.002529188988629603,1.0,0.007946513460656581,0.3685950413223141,4986.1376953125
70400,0.0024361900847459706,1.0,0.0077569859719658196,0.5272727272727272,5065.634765625
76800,0.0023292765760584548,1.0,0.007469937521656436,0.68,5051.662109375
83200,0.002261864176409925,1.0,0.007177986776964231,0.8066115702479338,5069.572265625
89600,0.0021943342904301565,1.0,0.006850798942056323,0.8958677685950414,5083.7138671875
96000,0.002203934560268877,1.0,0.0065835994114129505,0.9434710743801653,5062.083984375
102400,0.0021821456773775732,1.0,0.006274389217122774,0.9692561983471074,5041.36279296875
108800,0.0021893817416668523,1.0,0.005985972141877802,0.9838016528925619,5073.4755859375
115200,0.0021848190760739806,1.0,0.005684966555573354,0.9910743801652893,5057.9384765625
