training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.004198527837483973,0.9982190560997328,0.013950741403511905,0.02491103202846975,4733.00732421875
25600,0.0040141917366653896,1.0,0.013712059164558971,0.11209964412811388,4792.7548828125
38400,0.003729419873775259,1.0,0.011837399445644282,0.337485172004745,4761.033203125
51200,0.0037413796325788925,1.0,0.009754574541687471,0.7953736654804271,4717.89990234375
64000,0.004183798885754146,1.0,0.0077082246800493515,0.998220640569395,4675.08740234375
76800,0.005775203199796744,1.0,0.007151205283241658,1.0,4571.91015625
89600,0.008378937816826207,1.0,0.008702785960174346,1.0,4490.8837890625
102400,0.011363469906821383,1.0,0.011393301985486192,1.0,4453.412109375
115200,0.013653491030738275,1.0,0.013634588809690547,1.0,4406.9326171875
128000,0.015184824383972695,1.0,0.015139392771551546,1.0,4365.01513671875
140800,0.016111406171735863,1.0,0.016069788737653412,1.0,4367.47509765625
153600,0.016577664930257325,1.0,0.016517003482784346,1.0,4341.1826171875
166400,0.017060254324801457,1.0,0.016990846062735307,1.0,4339.71435546875
179200,0.017340646443004492,1.0,0.017276534533364564,1.0,4360.40283203125
